source,text,answer,answer2
Laptop-ACOS/train.txt,"pro : light , reasonable price , fast .","[['LAPTOP#DESIGN_FEATURES', '-1,-1', '6,11', '2'], ['LAPTOP#OPERATION_PERFORMANCE', '-1,-1', '33,37', '2'], ['LAPTOP#PRICE', '25,30', '14,24', '2']]","[['LAPTOP#DESIGN_FEATURES', None, 'light', '2'], ['LAPTOP#OPERATION_PERFORMANCE', None, 'fast', '2'], ['LAPTOP#PRICE', 'price', 'reasonable', '2']]"
Laptop-ACOS/train.txt,keyboard key fragile .,"[['KEYBOARD#QUALITY', '0,8', '13,20', '0']]","[['KEYBOARD#QUALITY', 'keyboard', 'fragile', '0']]"
Laptop-ACOS/train.txt,after 6 months my eyboard key is not function very well .,"[['KEYBOARD#OPERATION_PERFORMANCE', '18,29', '-1,-1', '0']]","[['KEYBOARD#OPERATION_PERFORMANCE', 'eyboard key', None, '0']]"
Laptop-ACOS/train.txt,"i only use the chormebook for surving the internet , checking my email , and watch hulu or netflix .","[['LAPTOP#GENERAL', '15,25', '-1,-1', '1']]","[['LAPTOP#GENERAL', 'chormebook', None, '1']]"
Laptop-ACOS/train.txt,this is something to reconsidered if one to buy the chromebook for doing homework and a lot of typing .,"[['LAPTOP#GENERAL', '52,62', '-1,-1', '1']]","[['LAPTOP#GENERAL', 'chromebook', None, '1']]"
Laptop-ACOS/train.txt,"up date per may 13 / 2018 about two months ago , the charger wont work .","[['POWER_SUPPLY#QUALITY', '53,60', '-1,-1', '0']]","[['POWER_SUPPLY#QUALITY', 'charger', None, '0']]"
Laptop-ACOS/train.txt,so latest update the charger only last about one year and the half .,"[['POWER_SUPPLY#GENERAL', '21,28', '-1,-1', '0']]","[['POWER_SUPPLY#GENERAL', 'charger', None, '0']]"
Laptop-ACOS/train.txt,"overall , it is not horrible , but i wouldn ' t purchase this model again .","[['LAPTOP#GENERAL', '62,67', '16,28', '0']]","[['LAPTOP#GENERAL', 'model', 'not horrible', '0']]"
Laptop-ACOS/train.txt,- long battery life,"[['BATTERY#QUALITY', '7,19', '2,6', '2']]","[['BATTERY#QUALITY', 'battery life', 'long', '2']]"
Laptop-ACOS/train.txt,- charges quickly,"[['POWER_SUPPLY#OPERATION_PERFORMANCE', '-1,-1', '10,17', '2']]","[['POWER_SUPPLY#OPERATION_PERFORMANCE', None, 'quickly', '2']]"
Laptop-ACOS/train.txt,- screen feels smaller than other of the same size .,"[['DISPLAY#DESIGN_FEATURES', '2,8', '15,22', '0']]","[['DISPLAY#DESIGN_FEATURES', 'screen', 'smaller', '0']]"
Laptop-ACOS/train.txt,it gets two stars because it is a nice light weight and the folding is nice .,"[['LAPTOP#PORTABILITY', '-1,-1', '71,75', '2'], ['LAPTOP#PORTABILITY', '-1,-1', '39,44', '2'], ['LAPTOP#DESIGN_FEATURES', '60,67', '-1,-1', '2']]","[['LAPTOP#PORTABILITY', None, 'nice', '2'], ['LAPTOP#PORTABILITY', None, 'light', '2'], ['LAPTOP#DESIGN_FEATURES', 'folding', None, '2']]"
Laptop-ACOS/train.txt,two replacements had the same problem all in 4 weeks .,"[['LAPTOP#GENERAL', '4,16', '-1,-1', '0']]","[['LAPTOP#GENERAL', 'replacements', None, '0']]"
Laptop-ACOS/train.txt,i already returned the first laptop because i had to press extremely hard to get the left click to work .,"[['LAPTOP#GENERAL', '29,35', '-1,-1', '0']]","[['LAPTOP#GENERAL', 'laptop', None, '0']]"
Laptop-ACOS/train.txt,"i ' ve had the device for 4 days now , and it has a number of big issues .","[['LAPTOP#GENERAL', '15,21', '-1,-1', '0']]","[['LAPTOP#GENERAL', 'device', None, '0']]"
Laptop-ACOS/train.txt,"next , is that the track pad is insanely wobbly .","[['HARDWARE#OPERATION_PERFORMANCE', '19,28', '41,47', '0']]","[['HARDWARE#OPERATION_PERFORMANCE', 'track pad', 'wobbly', '0']]"
Laptop-ACOS/train.txt,one of the worst offenders is the battery life .,"[['BATTERY#QUALITY', '34,46', '11,16', '0']]","[['BATTERY#QUALITY', 'battery life', 'worst', '0']]"
Laptop-ACOS/train.txt,it also refuses to charge past 90 % and instantly jumps to 80 % when i unplug it .,"[['LAPTOP#OPERATION_PERFORMANCE', '-1,-1', '-1,-1', '0']]","[['LAPTOP#OPERATION_PERFORMANCE', None, None, '0']]"
Laptop-ACOS/train.txt,"there are issues beyond these , but it ' s all software related so i will let it be .","[['SOFTWARE#GENERAL', '47,55', '-1,-1', '0']]","[['SOFTWARE#GENERAL', 'software', None, '0']]"
Laptop-ACOS/train.txt,"within two days of receiving this item a line appeared on my screen ( while i was using it , previously fine ) and below it the image / screen flickered .","[['DISPLAY#OPERATION_PERFORMANCE', '136,142', '-1,-1', '0']]","[['DISPLAY#OPERATION_PERFORMANCE', 'screen', None, '0']]"
Laptop-ACOS/train.txt,"the flip and touchscreen aspects work fine , no problems .","[['HARDWARE#OPERATION_PERFORMANCE', '4,8', '38,42', '2'], ['HARDWARE#OPERATION_PERFORMANCE', '13,24', '38,42', '2']]","[['HARDWARE#OPERATION_PERFORMANCE', 'flip', 'fine', '2'], ['HARDWARE#OPERATION_PERFORMANCE', 'touchscreen', 'fine', '2']]"
Laptop-ACOS/train.txt,it can not .,"[['LAPTOP#GENERAL', '-1,-1', '-1,-1', '0']]","[['LAPTOP#GENERAL', None, None, '0']]"
Laptop-ACOS/train.txt,"screen looks good , it has a good battery life , keypad has some nice feedback , the works .","[['DISPLAY#DESIGN_FEATURES', '0,6', '29,33', '2'], ['BATTERY#QUALITY', '34,46', '-1,-1', '2'], ['KEYBOARD#OPERATION_PERFORMANCE', '49,55', '65,69', '2']]","[['DISPLAY#DESIGN_FEATURES', 'screen', 'good', '2'], ['BATTERY#QUALITY', 'battery life', None, '2'], ['KEYBOARD#OPERATION_PERFORMANCE', 'keypad', 'nice', '2']]"
Laptop-ACOS/train.txt,but you can ' t use an acer chromebook r 11 this way .,"[['LAPTOP#GENERAL', '23,43', '-1,-1', '0']]","[['LAPTOP#GENERAL', 'acer chromebook r 11', None, '0']]"
Laptop-ACOS/train.txt,and the chromebook does not go to sleep or otherwise shut off .,"[['LAPTOP#OPERATION_PERFORMANCE', '8,18', '-1,-1', '0']]","[['LAPTOP#OPERATION_PERFORMANCE', 'chromebook', None, '0']]"
Laptop-ACOS/train.txt,loved it for an hour than it went black and we got a chrome os missing or damage message .,"[['OS#QUALITY', '53,62', '-1,-1', '0']]","[['OS#QUALITY', 'chrome os', None, '0']]"
Laptop-ACOS/train.txt,terrible product and worse customer service - - do not buy,"[['LAPTOP#GENERAL', '9,16', '0,8', '0'], ['SUPPORT#GENERAL', '27,43', '21,26', '0']]","[['LAPTOP#GENERAL', 'product', 'terrible', '0'], ['SUPPORT#GENERAL', 'customer service', 'worse', '0']]"
Laptop-ACOS/train.txt,we ordered this chromebook for my son to use for school .,"[['LAPTOP#GENERAL', '16,26', '-1,-1', '1']]","[['LAPTOP#GENERAL', 'chromebook', None, '1']]"
Laptop-ACOS/train.txt,"we received it in august , and it worked fine for just 5 months and then the touch screen stopped working .","[['LAPTOP#OPERATION_PERFORMANCE', '-1,-1', '41,45', '1'], ['HARDWARE#OPERATION_PERFORMANCE', '77,89', '-1,-1', '0']]","[['LAPTOP#OPERATION_PERFORMANCE', None, 'fine', '1'], ['HARDWARE#OPERATION_PERFORMANCE', 'touch screen', None, '0']]"
Laptop-ACOS/train.txt,"it worked properly for less than a week , and the touch screen stopped functioning again .","[['LAPTOP#OPERATION_PERFORMANCE', '-1,-1', '-1,-1', '0'], ['HARDWARE#QUALITY', '50,62', '-1,-1', '0']]","[['LAPTOP#OPERATION_PERFORMANCE', None, None, '0'], ['HARDWARE#QUALITY', 'touch screen', None, '0']]"
Laptop-ACOS/train.txt,"we contacted both acer and amazon , and they both informed us that it has to be sent back for repairs again .","[['SUPPORT#GENERAL', '18,22', '-1,-1', '1'], ['SUPPORT#GENERAL', '27,33', '-1,-1', '1']]","[['SUPPORT#GENERAL', 'acer', None, '1'], ['SUPPORT#GENERAL', 'amazon', None, '1']]"
Laptop-ACOS/train.txt,good display,"[['DISPLAY#GENERAL', '5,12', '0,4', '2']]","[['DISPLAY#GENERAL', 'display', 'good', '2']]"
Laptop-ACOS/train.txt,good battery life,"[['BATTERY#QUALITY', '5,17', '0,4', '2']]","[['BATTERY#QUALITY', 'battery life', 'good', '2']]"
Laptop-ACOS/train.txt,no fans and stays reasonably cool unless you are playing a game .,"[['FANS&COOLING#GENERAL', '3,7', '-1,-1', '0'], ['FANS&COOLING#QUALITY', '-1,-1', '18,28', '2']]","[['FANS&COOLING#GENERAL', 'fans', None, '0'], ['FANS&COOLING#QUALITY', None, 'reasonably', '2']]"
Laptop-ACOS/train.txt,"build quality seems ok , keyboard is not flimsy or too firm .","[['LAPTOP#QUALITY', '0,13', '20,22', '2'], ['KEYBOARD#GENERAL', '25,33', '37,59', '2']]","[['LAPTOP#QUALITY', 'build quality', 'ok', '2'], ['KEYBOARD#GENERAL', 'keyboard', 'not flimsy or too firm', '2']]"
Laptop-ACOS/train.txt,my understanding is that chromeos is a very light weight so i don ' t know why it lags sometimes with under 10 tabs open and a youtube video playing .,"[['OS#OPERATION_PERFORMANCE', '25,33', '44,49', '2']]","[['OS#OPERATION_PERFORMANCE', 'chromeos', 'light', '2']]"
Laptop-ACOS/train.txt,i needed a small chromebook for light web use while traveling and this tablet does ok but considering the price i would have expected a better processor and keyboard lighting .,"[['CPU#PRICE', '143,152', '-1,-1', '0'], ['KEYBOARD#PRICE', '157,165', '-1,-1', '0']]","[['CPU#PRICE', 'processor', None, '0'], ['KEYBOARD#PRICE', 'keyboard', None, '0']]"
Laptop-ACOS/train.txt,"my main complaint is the battery life , i see many positive reviews about the battery life .","[['BATTERY#GENERAL', '78,90', '8,17', '0']]","[['BATTERY#GENERAL', 'battery life', 'complaint', '0']]"
Laptop-ACOS/train.txt,i just find the battery draining to quickly in my opinion .,"[['BATTERY#OPERATION_PERFORMANCE', '16,23', '-1,-1', '0']]","[['BATTERY#OPERATION_PERFORMANCE', 'battery', None, '0']]"
Laptop-ACOS/train.txt,i tried messing around in the dev mode to adjust the microphone sensitivity but nothing seems to work .,"[['MULTIMEDIA_DEVICES#GENERAL', '53,63', '-1,-1', '0']]","[['MULTIMEDIA_DEVICES#GENERAL', 'microphone', None, '0']]"
Laptop-ACOS/train.txt,"plug - in or usb microphones seem to work fine , so it ' s not a terribly big issue and i don ' t really even use a microphone that often , but it ' s annoying to buy a product and not have it working .","[['LAPTOP#GENERAL', '169,176', '151,159', '0']]","[['LAPTOP#GENERAL', 'product', 'annoying', '0']]"
Laptop-ACOS/train.txt,the broken mic was not a dealbreaker but annoying in a brand new device .,"[['MULTIMEDIA_DEVICES#GENERAL', '11,14', '41,49', '0']]","[['MULTIMEDIA_DEVICES#GENERAL', 'mic', 'annoying', '0']]"
Laptop-ACOS/train.txt,"in addition , in my short time using the device , i realized how much i dislike having fingerprints on my computer screen .","[['Out_Of_Scope#GENERAL', '87,99', '72,79', '0']]","[['Out_Of_Scope#GENERAL', 'fingerprints', 'dislike', '0']]"
Laptop-ACOS/train.txt,good looking laptop but hardware has several major problems .,"[['LAPTOP#DESIGN_FEATURES', '13,19', '0,12', '2'], ['HARDWARE#GENERAL', '24,32', '-1,-1', '0']]","[['LAPTOP#DESIGN_FEATURES', 'laptop', 'good looking', '2'], ['HARDWARE#GENERAL', 'hardware', None, '0']]"
Laptop-ACOS/train.txt,microphone is not really working ( you have to basically yell while alsmost touching it with you lips in order for someone else to hear you ) .,"[['MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE', '0,10', '-1,-1', '0']]","[['MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE', 'microphone', None, '0']]"
Laptop-ACOS/train.txt,when switching between tablet and laptop mode quickly the screen will blink and turn off for an extended period of time before turning back on .,"[['DISPLAY#OPERATION_PERFORMANCE', '58,64', '-1,-1', '0']]","[['DISPLAY#OPERATION_PERFORMANCE', 'screen', None, '0']]"
Laptop-ACOS/train.txt,"called acer support , they were completely useless .","[['SUPPORT#GENERAL', '7,19', '43,50', '0']]","[['SUPPORT#GENERAL', 'acer support', 'useless', '0']]"
Laptop-ACOS/train.txt,keeps disconnecting from my wifi at work .,"[['PORTS#OPERATION_PERFORMANCE', '28,32', '-1,-1', '0']]","[['PORTS#OPERATION_PERFORMANCE', 'wifi', None, '0']]"
Laptop-ACOS/train.txt,it was nice when it was working .,"[['LAPTOP#GENERAL', '-1,-1', '7,11', '2']]","[['LAPTOP#GENERAL', None, 'nice', '2']]"
Laptop-ACOS/train.txt,"i ' ve called twice to try to connect it to printer , first call they told me i had to get a cloud ready printer after getting said printer it still doesn ' t connect .","[['LAPTOP#CONNECTIVITY', '-1,-1', '-1,-1', '0']]","[['LAPTOP#CONNECTIVITY', None, None, '0']]"
Laptop-ACOS/train.txt,very disappointed in this machine .,"[['LAPTOP#GENERAL', '26,33', '5,17', '0']]","[['LAPTOP#GENERAL', 'machine', 'disappointed', '0']]"
Laptop-ACOS/train.txt,i typically love acers ( i have a regular laptop ) but this machine has been a nightmare .,"[['LAPTOP#GENERAL', '60,67', '79,88', '0']]","[['LAPTOP#GENERAL', 'machine', 'nightmare', '0']]"
Laptop-ACOS/train.txt,issue summary : frequent crashing,"[['LAPTOP#OPERATION_PERFORMANCE', '-1,-1', '25,33', '0']]","[['LAPTOP#OPERATION_PERFORMANCE', None, 'crashing', '0']]"
Laptop-ACOS/train.txt,"6 - inch hd touch , intel celeron n3150 , 4gb ddr3l , 32gb , chrome , cb5 - 132t - c1lk","[['HARDWARE#GENERAL', '9,17', '-1,-1', '1'], ['CPU#GENERAL', '20,39', '-1,-1', '1'], ['OS#GENERAL', '61,67', '-1,-1', '1'], ['LAPTOP#GENERAL', '70,87', '-1,-1', '1']]","[['HARDWARE#GENERAL', 'hd touch', None, '1'], ['CPU#GENERAL', 'intel celeron n3150', None, '1'], ['OS#GENERAL', 'chrome', None, '1'], ['LAPTOP#GENERAL', 'cb5 - 132t - c1lk', None, '1']]"
Laptop-ACOS/train.txt,"6 - inch hd touch , intel celeron n3150 , 4gb ddr3l , 32gb , chrome , cb5 - 132t - c1lk","[['MEMORY#GENERAL', '42,45', '-1,-1', '1']]","[['MEMORY#GENERAL', '4gb', None, '1']]"
Laptop-ACOS/train.txt,it frequently crashes by displaying a bizarre screen displaying a large number of short horizontal lines and making a loud alarm noise .,"[['DISPLAY#OPERATION_PERFORMANCE', '46,52', '14,21', '0'], ['DISPLAY#OPERATION_PERFORMANCE', '46,52', '38,45', '0']]","[['DISPLAY#OPERATION_PERFORMANCE', 'screen', 'crashes', '0'], ['DISPLAY#OPERATION_PERFORMANCE', 'screen', 'bizarre', '0']]"
Laptop-ACOS/train.txt,this issue happens more frequently when using netflix ( app or through chrome browser ) .,"[['SOFTWARE#GENERAL', '11,18', '-1,-1', '0'], ['SOFTWARE#GENERAL', '71,85', '-1,-1', '0']]","[['SOFTWARE#GENERAL', 'happens', None, '0'], ['SOFTWARE#GENERAL', 'chrome browser', None, '0']]"
Laptop-ACOS/train.txt,"however it can happen at random , for example when signing into gmail .","[['LAPTOP#GENERAL', '-1,-1', '-1,-1', '0']]","[['LAPTOP#GENERAL', None, None, '0']]"
Laptop-ACOS/train.txt,"it ' s okay for email , facebook , surfing the net , etc .","[['SOFTWARE#GENERAL', '16,21', '7,11', '1'], ['SOFTWARE#GENERAL', '24,32', '7,11', '1']]","[['SOFTWARE#GENERAL', 'email', 'okay', '1'], ['SOFTWARE#GENERAL', 'facebook', 'okay', '1']]"
Laptop-ACOS/train.txt,"so , this one isn ' t working out very well for my needs .","[['LAPTOP#GENERAL', '-1,-1', '18,43', '0']]","[['LAPTOP#GENERAL', None, ""' t working out very well"", '0']]"
Laptop-ACOS/train.txt,i hope it is fixed this time .,"[['LAPTOP#GENERAL', '-1,-1', '-1,-1', '0']]","[['LAPTOP#GENERAL', None, None, '0']]"
Laptop-ACOS/train.txt,the other is excellent !,"[['LAPTOP#GENERAL', '-1,-1', '13,22', '2']]","[['LAPTOP#GENERAL', None, 'excellent', '2']]"
Laptop-ACOS/train.txt,"has lots of issues , screen freezing , i was hoping to use it for banking etc .","[['DISPLAY#QUALITY', '21,27', '-1,-1', '0'], ['LAPTOP#GENERAL', '-1,-1', '-1,-1', '1']]","[['DISPLAY#QUALITY', 'screen', None, '0'], ['LAPTOP#GENERAL', None, None, '1']]"
Laptop-ACOS/train.txt,it feels like a tablet / computer for a child since it ' s so bulky and heavy .,"[['LAPTOP#GENERAL', '16,22', '62,67', '0'], ['LAPTOP#GENERAL', '16,22', '72,77', '0'], ['LAPTOP#GENERAL', '25,33', '62,67', '0'], ['LAPTOP#GENERAL', '25,33', '72,77', '0']]","[['LAPTOP#GENERAL', 'tablet', 'bulky', '0'], ['LAPTOP#GENERAL', 'tablet', 'heavy', '0'], ['LAPTOP#GENERAL', 'computer', 'bulky', '0'], ['LAPTOP#GENERAL', 'computer', 'heavy', '0']]"
Laptop-ACOS/train.txt,the mousepad was not very responsive .,"[['HARDWARE#QUALITY', '4,12', '17,36', '0']]","[['HARDWARE#QUALITY', 'mousepad', 'not very responsive', '0']]"
Laptop-ACOS/train.txt,i really think it ' s junk .,"[['LAPTOP#GENERAL', '-1,-1', '22,26', '0']]","[['LAPTOP#GENERAL', None, 'junk', '0']]"
Laptop-ACOS/train.txt,"runs good , poor battery life .","[['LAPTOP#OPERATION_PERFORMANCE', '-1,-1', '5,9', '2'], ['BATTERY#QUALITY', '17,29', '12,16', '0']]","[['LAPTOP#OPERATION_PERFORMANCE', None, 'good', '2'], ['BATTERY#QUALITY', 'battery life', 'poor', '0']]"
Laptop-ACOS/train.txt,"this one is horrible , never can connect .","[['LAPTOP#OPERATION_PERFORMANCE', '-1,-1', '12,20', '0']]","[['LAPTOP#OPERATION_PERFORMANCE', None, 'horrible', '0']]"
Laptop-ACOS/train.txt,"after years of using amazon for hundreds of orders , this is my very first negative review :","[['COMPANY#GENERAL', '21,27', '75,83', '0']]","[['COMPANY#GENERAL', 'amazon', 'negative', '0']]"
Laptop-ACOS/train.txt,i was very excited at the prospect of buying this laptop .,"[['LAPTOP#GENERAL', '50,56', '11,18', '2']]","[['LAPTOP#GENERAL', 'laptop', 'excited', '2']]"
Laptop-ACOS/train.txt,i was very impressed with its sleek design and the speed of the processor itself .,"[['LAPTOP#DESIGN_FEATURES', '36,42', '11,20', '2'], ['CPU#OPERATION_PERFORMANCE', '64,73', '11,20', '2']]","[['LAPTOP#DESIGN_FEATURES', 'design', 'impressed', '2'], ['CPU#OPERATION_PERFORMANCE', 'processor', 'impressed', '2']]"
Laptop-ACOS/train.txt,"a few hours of use later , i noticed that my battery was very low , around 10 % .","[['BATTERY#OPERATION_PERFORMANCE', '45,52', '62,65', '0']]","[['BATTERY#OPERATION_PERFORMANCE', 'battery', 'low', '0']]"
Laptop-ACOS/train.txt,"i even tried reinstalling the drivers and doing a system restore , nothing would fix it .","[['LAPTOP#GENERAL', '-1,-1', '-1,-1', '0']]","[['LAPTOP#GENERAL', None, None, '0']]"
Laptop-ACOS/train.txt,i contacted asus and they could do nothing .,"[['COMPANY#GENERAL', '12,16', '-1,-1', '0']]","[['COMPANY#GENERAL', 'asus', None, '0']]"
Laptop-ACOS/train.txt,i was so glad that the problem would finally be fixed .,"[['POWER_SUPPLY#GENERAL', '-1,-1', '9,13', '2']]","[['POWER_SUPPLY#GENERAL', None, 'glad', '2']]"
Laptop-ACOS/train.txt,"to my great dismay and disappointment , the power icon read the exact same message : ` ` plugged in , not charging ` ` .","[['SOFTWARE#OPERATION_PERFORMANCE', '44,54', '12,18', '0'], ['SOFTWARE#OPERATION_PERFORMANCE', '44,54', '23,37', '0']]","[['SOFTWARE#OPERATION_PERFORMANCE', 'power icon', 'dismay', '0'], ['SOFTWARE#OPERATION_PERFORMANCE', 'power icon', 'disappointment', '0']]"
Laptop-ACOS/train.txt,this was the second vivobook in a row !,"[['LAPTOP#QUALITY', '20,28', '-1,-1', '0']]","[['LAPTOP#QUALITY', 'vivobook', None, '0']]"
Laptop-ACOS/train.txt,"am i just unlucky , or was this a bad batch ?","[['LAPTOP#QUALITY', '-1,-1', '10,17', '0'], ['LAPTOP#QUALITY', '-1,-1', '34,37', '0']]","[['LAPTOP#QUALITY', None, 'unlucky', '0'], ['LAPTOP#QUALITY', None, 'bad', '0']]"
Laptop-ACOS/train.txt,i ' ve only found 2 other recent reviews of this product that had the same problem ( go ahead and search for them in the reviews ) .,"[['LAPTOP#QUALITY', '49,56', '-1,-1', '0']]","[['LAPTOP#QUALITY', 'product', None, '0']]"
Laptop-ACOS/train.txt,volume was not working .,"[['MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE', '0,6', '-1,-1', '0']]","[['MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE', 'volume', None, '0']]"
Laptop-ACOS/train.txt,they would help me only if i bought an ongoing support contract with them .,"[['SUPPORT#GENERAL', '47,63', '-1,-1', '0']]","[['SUPPORT#GENERAL', 'support contract', None, '0']]"
Laptop-ACOS/train.txt,horrible way to run a company so i returned the item .,"[['LAPTOP#GENERAL', '48,52', '-1,-1', '0'], ['COMPANY#GENERAL', '22,29', '0,8', '0']]","[['LAPTOP#GENERAL', 'item', None, '0'], ['COMPANY#GENERAL', 'company', 'horrible', '0']]"
Laptop-ACOS/train.txt,"i purchased this laptop on the 11th of june 2018 and today is the 25th , which means i have had it for just about 2 weeks .","[['LAPTOP#GENERAL', '17,23', '-1,-1', '1']]","[['LAPTOP#GENERAL', 'laptop', None, '1']]"
Laptop-ACOS/train.txt,i noticed yesterday that the laptop was not charging anymore for reasons i can not deduce .,"[['LAPTOP#QUALITY', '29,35', '-1,-1', '0']]","[['LAPTOP#QUALITY', 'laptop', None, '0']]"
Laptop-ACOS/train.txt,it appears the adapter may still be good as there are a few sparks when plugging into power but the charging light on the laptop does not come on and the battery is not charging .,"[['HARDWARE#OPERATION_PERFORMANCE', '100,114', '-1,-1', '0'], ['BATTERY#OPERATION_PERFORMANCE', '154,161', '-1,-1', '0'], ['POWER_SUPPLY#OPERATION_PERFORMANCE', '15,22', '36,40', '2'], ['HARDWARE#QUALITY', '100,114', '-1,-1', '0'], ['BATTERY#QUALITY', '154,161', '-1,-1', '0']]","[['HARDWARE#OPERATION_PERFORMANCE', 'charging light', None, '0'], ['BATTERY#OPERATION_PERFORMANCE', 'battery', None, '0'], ['POWER_SUPPLY#OPERATION_PERFORMANCE', 'adapter', 'good', '2'], ['HARDWARE#QUALITY', 'charging light', None, '0'], ['BATTERY#QUALITY', 'battery', None, '0']]"
Laptop-ACOS/train.txt,i will attempt to return it as i am out of the us right now .,"[['LAPTOP#GENERAL', '-1,-1', '-1,-1', '0']]","[['LAPTOP#GENERAL', None, None, '0']]"
Laptop-ACOS/train.txt,it is quite disappointing .,"[['LAPTOP#GENERAL', '-1,-1', '12,25', '0']]","[['LAPTOP#GENERAL', None, 'disappointing', '0']]"
Laptop-ACOS/train.txt,i am really concerned that this was not strongly made and just pretty .,"[['LAPTOP#GENERAL', '-1,-1', '58,69', '0']]","[['LAPTOP#GENERAL', None, 'just pretty', '0']]"
Laptop-ACOS/train.txt,now a few weeks later monitor has died again .,"[['DISPLAY#GENERAL', '22,29', '34,38', '0']]","[['DISPLAY#GENERAL', 'monitor', 'died', '0']]"
Laptop-ACOS/train.txt,not worth it .,"[['LAPTOP#GENERAL', '-1,-1', '0,9', '0']]","[['LAPTOP#GENERAL', None, 'not worth', '0']]"
